subject	evidence	advice
SYNTHETIC_replica_1/SYNTHETIC RMSD/protein backbone/RMSD	Estimated effective samples: 6.723 (<50 screening threshold).	Inspect the ACF, transitions and trajectory length. The threshold is a review heuristic, not a validated convergence cutoff.
SYNTHETIC_replica_1/SYNTHETIC RMSD/protein backbone/RMSD	Configured block size is below ceil(5 × estimated g).	Inspect block-size sensitivity; this recommendation is heuristic and does not ensure independent blocks.
SYNTHETIC_replica_1/SYNTHETIC radius of gyration/protein/Rg	Estimated effective samples: 5.802 (<50 screening threshold).	Inspect the ACF, transitions and trajectory length. The threshold is a review heuristic, not a validated convergence cutoff.
SYNTHETIC_replica_1/SYNTHETIC radius of gyration/protein/Rg	Configured block size is below ceil(5 × estimated g).	Inspect block-size sensitivity; this recommendation is heuristic and does not ensure independent blocks.
SYNTHETIC_replica_2/SYNTHETIC RMSD/protein backbone/RMSD	Estimated effective samples: 4.172 (<50 screening threshold).	Inspect the ACF, transitions and trajectory length. The threshold is a review heuristic, not a validated convergence cutoff.
SYNTHETIC_replica_2/SYNTHETIC RMSD/protein backbone/RMSD	Configured block size is below ceil(5 × estimated g).	Inspect block-size sensitivity; this recommendation is heuristic and does not ensure independent blocks.
SYNTHETIC_replica_2/SYNTHETIC radius of gyration/protein/Rg	Estimated effective samples: 4.136 (<50 screening threshold).	Inspect the ACF, transitions and trajectory length. The threshold is a review heuristic, not a validated convergence cutoff.
SYNTHETIC_replica_2/SYNTHETIC radius of gyration/protein/Rg	Configured block size is below ceil(5 × estimated g).	Inspect block-size sensitivity; this recommendation is heuristic and does not ensure independent blocks.
SYNTHETIC_replica_3/SYNTHETIC RMSD/protein backbone/RMSD	Estimated effective samples: 7.5 (<50 screening threshold).	Inspect the ACF, transitions and trajectory length. The threshold is a review heuristic, not a validated convergence cutoff.
SYNTHETIC_replica_3/SYNTHETIC RMSD/protein backbone/RMSD	Configured block size is below ceil(5 × estimated g).	Inspect block-size sensitivity; this recommendation is heuristic and does not ensure independent blocks.
SYNTHETIC_replica_3/SYNTHETIC radius of gyration/protein/Rg	Estimated effective samples: 6.615 (<50 screening threshold).	Inspect the ACF, transitions and trajectory length. The threshold is a review heuristic, not a validated convergence cutoff.
SYNTHETIC_replica_3/SYNTHETIC radius of gyration/protein/Rg	Configured block size is below ceil(5 × estimated g).	Inspect block-size sensitivity; this recommendation is heuristic and does not ensure independent blocks.
